file,segment,fault_type,load_hp,rpm,sampling_frequency_hz,mean,std,rms,peak,peak_to_peak,mean_absolute,kurtosis,skewness,crest_factor
100.mat,0,Normal,3,1725.0,12000,0.012454328275240383,0.06546631162342392,0.06664044005228885,0.22530461538461538,0.43475446153846153,0.05367226667668269,2.8714118824426613,-0.1016633679386565,3.38089927389183
100.mat,1,Normal,3,1725.0,12000,0.01283091571514423,0.06343444480205339,0.06471909444231969,0.22196676923076922,0.41264123076923076,0.05201139077524038,2.8260872081657693,-0.08853729241794829,3.4296952258594273
100.mat,2,Normal,3,1725.0,12000,0.012339375901442308,0.06316319820082462,0.06435720476056857,0.20944984615384615,0.404088,0.05174629236778846,2.863674334597516,-0.12011226925769566,3.254489484636153
100.mat,3,Normal,3,1725.0,12000,0.011294414513221152,0.06453289635397474,0.06551380397312696,0.22843384615384613,0.4378836923076923,0.05246244005408654,2.9543163617869936,-0.11729463838552898,3.4868047999097587
100.mat,4,Normal,3,1725.0,12000,0.012621689152644229,0.0659119486646369,0.06710955232927504,0.2422024615384615,0.4433076923076923,0.05341465519831731,3.025222193399456,-0.044095603191251775,3.6090609031347407
100.mat,5,Normal,3,1725.0,12000,0.013229352764423077,0.06473564874212433,0.06607359527548999,0.2422024615384615,0.4433076923076923,0.052831133112980766,2.977684014678044,-0.06511560014920707,3.665646776577126
100.mat,6,Normal,3,1725.0,12000,0.01374141796875,0.06289270513769665,0.06437638485756358,0.23969907692307693,0.4220289230769231,0.05181769831730769,2.867150577013649,-0.10532857243949734,3.723400707470989
100.mat,7,Normal,3,1725.0,12000,0.01495750916466346,0.06289874862904381,0.06465276219552134,0.23969907692307693,0.4220289230769231,0.052213283203125,2.911633573153138,-0.13942470829477313,3.7074839308208474
100.mat,8,Normal,3,1725.0,12000,0.014329218299278846,0.06504385161558279,0.06660352190431328,0.25117292307692307,0.47960676923076917,0.053726865234375,3.0288601516032507,-0.1758119301465624,3.771165786664759
100.mat,9,Normal,3,1725.0,12000,0.014271767578124997,0.06595279153146284,0.06747928615950688,0.25117292307692307,0.48982892307692305,0.053940064453125,3.1950790492368,-0.20328234805469306,3.7222225866942775
100.mat,10,Normal,3,1725.0,12000,0.013962511568509615,0.06560921786031321,0.06707847044725161,0.238656,0.46542092307692307,0.05342830483774039,3.1624157187076274,-0.17461687676510157,3.557862879232936
100.mat,11,Normal,3,1725.0,12000,0.013235617337740386,0.06489264212313137,0.06622866877744031,0.2659846153846154,0.47793784615384616,0.052868873347355766,3.0776721241424596,-0.05512199050577205,4.01615524356151
