file,segment,peak_frequency,peak_amplitude,spectral_energy,spectral_centroid,spectral_bandwidth
100.mat,0,2100.5859375,0.015708715585992527,0.002298029277054938,1098.0763777286463,1042.0971712136322
100.mat,1,2100.5859375,0.015413811704704957,0.002176596807171271,1107.8849372932632,1061.3834765864544
100.mat,2,2100.5859375,0.014788349495421302,0.002147055049929629,1135.465130118338,1068.1803681162744
100.mat,3,2100.5859375,0.01539895108835189,0.00220981117347982,1119.8469580262818,1041.1596753284725
100.mat,4,2100.5859375,0.015798195793804096,0.0023314995381628206,1088.1190432155163,1030.9667038850694
100.mat,5,2100.5859375,0.015649793056426838,0.002270368009853382,1098.2208765779933,1067.1724208575592
100.mat,6,2100.5859375,0.015115382055093803,0.0021665727668651867,1121.113338836398,1061.004406577708
100.mat,7,2100.5859375,0.015364442321122223,0.002201853487471066,1134.8978232718623,1083.5136217108468
100.mat,8,2100.5859375,0.015701351071642024,0.002320677943898436,1131.7510806548603,1065.422327621952
100.mat,9,2100.5859375,0.015427080769812106,0.0023785688542538154,1130.1768617417704,1066.2789594452606
100.mat,10,2100.5859375,0.015274659735622212,0.002347236553134557,1118.3867741051465,1067.743914523178
100.mat,11,2100.5859375,0.015580494468156032,0.002280709130518681,1101.1986426642973,1054.02110728841
100.mat,12,2100.5859375,0.015451691294057785,0.002210386788213796,1117.6958140580277,1048.8417659269599
100.mat,13,2100.5859375,0.015508149817779466,0.0022036549650046146,1114.418821698277,1056.6435623404036
100.mat,14,2100.5859375,0.015531160585776457,0.002254070621809076,1092.9513194255187,1028.6988397795424
100.mat,15,0.0,0.016272509314903844,0.0024750123955994793,1082.3216475844808,1038.2062987185989
100.mat,16,0.0,0.016504807842548076,0.0025265198568114925,1077.8634419319308,1032.899558282135
100.mat,17,0.0,0.01637900706129808,0.0023561855394135262,1091.4646255470602,1052.1639780915502
100.mat,18,0.0,0.016069139873798075,0.0023778632441050678,1086.772122161438,1041.3119005307929
100.mat,19,0.0,0.015847129507211538,0.0024454969758012186,1101.2347714788355,1058.2516723698147
100.mat,20,0.0,0.015434431640625,0.0023086981639108073,1100.8357454279485,1065.9116673252117
100.mat,21,0.0,0.015650992337740383,0.002330412079602259,1087.8423691363462,1021.3248067334554
100.mat,22,0.0,0.01540509510216346,0.002374271013112917,1092.2402954251104,1039.02436925954
100.mat,23,2100.5859375,0.015249595512230305,0.002250191965813116,1107.8273140325543,1067.4429439973687
100.mat,24,2100.5859375,0.014899590849326348,0.0020635634666688846,1103.6215466681745,1038.8841991623037
100.mat,25,2100.5859375,0.015555085805732552,0.0020082915830542647,1115.7007068771027,1031.1070020693217
100.mat,26,2100.5859375,0.01552129919525786,0.002147829566845733,1108.140104110737,1025.5373021079417
100.mat,27,2100.5859375,0.015381003510160527,0.002359159726084813,1115.8229527613137,1090.256468173984
100.mat,28,2100.5859375,0.015135861888116461,0.0023478227397758632,1084.3505313525607,1039.5597287471617
100.mat,29,2100.5859375,0.015474588901944804,0.002244847529664714,1140.8863283589264,1093.5170976894433
100.mat,30,2100.5859375,0.014941996497864197,0.0022726727406524676,1103.1944117432547,1039.230936768006
100.mat,31,2100.5859375,0.015075059298176442,0.002256649719942656,1090.3386961313504,1027.6516259563373
100.mat,32,2100.5859375,0.014951501537294666,0.0022957264662977375,1102.3633373113817,1033.6595797404311
100.mat,33,2100.5859375,0.01524429204723951,0.0023138432495064796,1121.9933212015114,1057.7487105426387
100.mat,34,2100.5859375,0.015481725921629757,0.0022708344459050865,1101.4292156839183,1037.006693668409
100.mat,35,2100.5859375,0.015421288938974478,0.0022646522917790014,1116.4423653012548,1077.068981023205
100.mat,36,2100.5859375,0.015675735184680236,0.002289428658699153,1083.634576363222,1034.203229990984
100.mat,37,2100.5859375,0.015190039069974567,0.0022024755821103774,1097.6808093457003,1051.2185539742181
100.mat,38,2100.5859375,0.014922102075038236,0.0021884565691547096,1117.4099972232877,1060.3027607188853
100.mat,39,2100.5859375,0.014843467853243541,0.0023484484988866064,1112.0197795932918,1072.733882703119
100.mat,40,2100.5859375,0.015583520997290646,0.0024271491916143433,1091.98269526956,1047.6652087147959
100.mat,41,2100.5859375,0.01573754756836741,0.0023589739878915918,1114.656825106782,1086.3415918272012
100.mat,42,2100.5859375,0.01500315143070922,0.002239627726509697,1089.8863947115894,1043.1455160048756
100.mat,43,2100.5859375,0.015111914476744525,0.002208682993658392,1122.2692196001976,1054.6786182708913
100.mat,44,2100.5859375,0.015384568656431627,0.0021969527902599047,1094.1755564207872,1037.1209311647467
100.mat,45,2100.5859375,0.01531113948012778,0.0022780170830401353,1082.260152094906,1037.2533228377056
100.mat,46,2100.5859375,0.015279369003588504,0.002309385831692123,1088.1405721643823,1033.0249191391044
100.mat,47,2100.5859375,0.015082797801931986,0.002189701499266347,1125.5309757622415,1069.6829224618891
100.mat,48,2100.5859375,0.01545366588901103,0.0021841452842238846,1137.5518855482312,1101.1670963716763
100.mat,49,2100.5859375,0.01563270531943484,0.0022142601839640922,1127.0550162834797,1093.4797388083891
100.mat,50,2100.5859375,0.015489801941936087,0.0022242020122204176,1126.8203118486433,1095.0208905339284
100.mat,51,2100.5859375,0.015320973189469915,0.002246423048158534,1067.7145266718505,1014.6438797346825
100.mat,52,2100.5859375,0.015247215921725663,0.0022884680025055584,1167.0586898439337,1119.6054781815328
100.mat,53,2100.5859375,0.015378798961840651,0.0021656423396744094,1112.366382427803,1039.4550244060172
100.mat,54,2100.5859375,0.015076282798254296,0.0021229683719318853,1137.1262231774967,1099.8092339264576
100.mat,55,2100.5859375,0.0155075126082741,0.0021068817127340503,1100.4883556407792,1039.0142436531771
