file,segment,fault_type,predicted_fault,confidence,health_score,risk_level,maintenance_recommendation
100.mat,0,Normal,Normal,0.9998673,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,1,Normal,Normal,0.9998905,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,2,Normal,Normal,0.9997949,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,3,Normal,Normal,0.9997634,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,4,Normal,Normal,0.9998035,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,5,Normal,Normal,0.9998827,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,6,Normal,Normal,0.9998783,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,7,Normal,Normal,0.999895,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,8,Normal,Normal,0.99979836,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,9,Normal,Normal,0.9998043,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,10,Normal,Normal,0.9998857,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,11,Normal,Normal,0.99982625,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,12,Normal,Normal,0.999787,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,13,Normal,Normal,0.99991375,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,14,Normal,Normal,0.99989605,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,15,Normal,Normal,0.9999989,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,16,Normal,Normal,0.9999976,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,17,Normal,Normal,0.9999995,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,18,Normal,Normal,0.9999995,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,19,Normal,Normal,0.99999964,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,20,Normal,Normal,0.9999995,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,21,Normal,Normal,0.99999845,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,22,Normal,Normal,0.9999993,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,23,Normal,Normal,0.99989223,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,24,Normal,Normal,0.99975973,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,25,Normal,Normal,0.99972606,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,26,Normal,Normal,0.99980485,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,27,Normal,Normal,0.9998387,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,28,Normal,Normal,0.99986506,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,29,Normal,Normal,0.9997909,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,30,Normal,Normal,0.9996061,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,31,Normal,Normal,0.99983966,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,32,Normal,Normal,0.9998146,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,33,Normal,Normal,0.99979967,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,34,Normal,Normal,0.9998745,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,35,Normal,Normal,0.9997564,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,36,Normal,Normal,0.99990726,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,37,Normal,Normal,0.99994385,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,38,Normal,Normal,0.9997998,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,39,Normal,Normal,0.999814,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,40,Normal,Normal,0.9998735,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,41,Normal,Normal,0.9997394,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,42,Normal,Normal,0.99981934,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,43,Normal,Normal,0.9999038,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,44,Normal,Normal,0.99992025,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,45,Normal,Normal,0.99989736,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,46,Normal,Normal,0.9998466,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,47,Normal,Normal,0.9998384,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,48,Normal,Normal,0.99982977,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,49,Normal,Normal,0.9996724,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,50,Normal,Normal,0.9998017,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,51,Normal,Normal,0.99982846,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,52,Normal,Normal,0.9996855,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,53,Normal,Normal,0.9998721,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,54,Normal,Normal,0.9997956,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,55,Normal,Normal,0.9998461,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,56,Normal,Normal,0.9998227,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,57,Normal,Normal,0.9998736,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,58,Normal,Normal,0.9998604,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,59,Normal,Normal,0.9996754,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,60,Normal,Normal,0.9998173,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,61,Normal,Normal,0.9998313,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,62,Normal,Normal,0.99976623,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,63,Normal,Normal,0.9995408,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,64,Normal,Normal,0.99955446,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,65,Normal,Normal,0.9996836,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,66,Normal,Normal,0.999668,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,67,Normal,Normal,0.9995376,100.0,Low,Continue normal operation and periodic monitoring.
100.mat,68,Normal,Normal,0.99966407,100.0,Low,Continue normal operation and periodic monitoring.
